                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                0.45601,                0.34779,                0.90601,                0.98849,                0.98677,                0.99432,                0.86179,                0.56605,                0.33865,                0.88384,              0.0004556,              0.0004556,              0.0004556
                     80,                0.48249,                  0.376,                0.89705,                  0.987,                0.97701,                0.99432,                0.86498,                0.58289,                0.36468,                 0.8888,              0.0004358,              0.0004358,              0.0004358
                     81,                0.44047,                0.33929,                0.88385,                0.98848,                0.98659,                0.99455,                0.85922,                0.60552,                0.35948,                0.90084,               0.000416,               0.000416,               0.000416
                     82,                0.44102,                0.33551,                0.88171,                 0.9885,                0.98768,                0.99466,                0.87016,                0.58097,                0.33543,                0.89251,              0.0003962,              0.0003962,              0.0003962
                     83,                0.46943,                0.34545,                0.88739,                 0.9885,                0.98794,                0.99455,                0.86909,                0.57298,                0.32766,                0.88735,              0.0003764,              0.0003764,              0.0003764
                     84,                0.42342,                0.37099,                0.88514,                 0.9885,                0.98778,                0.99455,                0.87504,                0.57414,                0.32798,                0.88629,              0.0003566,              0.0003566,              0.0003566
                     85,                0.42714,                0.32897,                0.89202,                0.98849,                 0.9872,                0.99466,                0.87661,                0.59274,                0.32207,                0.88663,              0.0003368,              0.0003368,              0.0003368
                     86,                0.44071,                0.36521,                0.88186,                0.98835,                0.97537,                0.99422,                 0.8755,                0.59827,                0.33377,                0.88903,               0.000317,               0.000317,               0.000317
                     87,                0.45931,                0.34386,                0.89832,                0.97725,                0.98761,                0.99443,                0.87627,                0.57196,                0.32303,                 0.8843,              0.0002972,              0.0002972,              0.0002972
                     88,                0.42343,                0.34514,                0.88951,                0.98836,                0.97615,                0.99422,                0.87356,                0.54924,                0.32584,                0.88176,              0.0002774,              0.0002774,              0.0002774
                     89,                 0.4469,                0.34174,                0.89477,                0.98686,                0.98851,                0.99444,                0.88311,                0.54972,                0.32807,                0.88115,              0.0002576,              0.0002576,              0.0002576
                     90,                 0.4088,                0.33583,                0.87966,                0.98851,                0.98849,                0.99444,                0.88182,                0.53962,                0.31718,                0.87959,              0.0002378,              0.0002378,              0.0002378
                     91,                0.39063,                0.29998,                0.84288,                0.98849,                0.98706,                0.99432,                0.87632,                0.54934,                0.31517,                0.87765,               0.000218,               0.000218,               0.000218
                     92,                0.36698,                 0.2742,                0.83348,                0.98848,                 0.9867,                0.99421,                0.86588,                0.56735,                0.32306,                0.87992,              0.0001982,              0.0001982,              0.0001982
                     93,                0.38896,                0.28145,                0.83228,                0.98836,                0.97613,                0.99421,                0.87455,                0.55538,                0.31737,                0.87974,              0.0001784,              0.0001784,              0.0001784
                     94,                0.36964,                0.28056,                0.84187,                0.97373,                      1,                0.99432,                0.86957,                0.54817,                0.31408,                 0.8813,              0.0001586,              0.0001586,              0.0001586
                     95,                0.36288,                0.27509,                0.81776,                0.98847,                0.98515,                0.99432,                0.86791,                0.54469,                0.32325,                0.88206,              0.0001388,              0.0001388,              0.0001388
                     96,                0.36022,                0.26487,                0.83421,                0.98846,                0.98428,                 0.9941,                0.87328,                0.54672,                0.31617,                0.88054,               0.000119,               0.000119,               0.000119
                     97,                0.36155,                 0.2665,                0.83509,                0.98836,                0.97575,                  0.994,                0.87364,                0.55272,                0.31253,                0.88172,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.36508,                 0.2635,                0.82739,                0.98835,                0.97554,                  0.994,                0.87859,                0.54828,                0.31608,                0.88031,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.35519,                0.26724,                0.83176,                0.97728,                0.98905,                 0.9942,                0.88221,                0.54105,                0.31293,                0.87768,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 0.3415,                0.25441,                0.81656,                0.97747,                0.99758,                0.99432,                0.88114,                0.53775,                0.30995,                0.87546,               3.98e-05,               3.98e-05,               3.98e-05
